 u 111 - p 0.6666666666666666  ::    10.0  /  15  ::::  4460 2462 4807 4902 4905 7041 7095 5721 1774 3918
 u 112 - p 1.3333333333333333  ::    20.0  /  15  ::::  28 6536 6549 6557 2688 6885 6884 6910 6937 5058 5104 5219 1328 5629 3633 5809 7969 5950 3981 2018
 u 113 - p 1.4  ::    21.0  /  15  ::::  6277 6440 6742 2712 4812 2832 6937 4931 7008 3016 5104 5236 5391 5397 1328 3633 5719 5738 5742 3981 2018
 u 114 - p 1.4  ::    21.0  /  15  ::::  6216 6236 6536 4591 2652 2688 6923 2832 2920 5068 5088 5221 5318 3633 5689 5719 5742 5809 3795 1821 3923
 u 115 - p 0.26666666666666666  ::    4.0  /  15  ::::  4177 466 4872 7617
 u 116 - p 0.4666666666666667  ::    7.0  /  15  ::::  2068 2069 2070 5062 7566 5668 5670
 u 117 - p 0.4  ::    6.0  /  15  ::::  2264 738 7133 5108 7573 7664
 u 118 - p 0.3333333333333333  ::    5.0  /  15  ::::  7412 4389 4390 2381 7198
 u 119 - p 1.3333333333333333  ::    20.0  /  15  ::::  4283 2378 4431 2391 536 6740 4774 2768 2769 2789 2793 2852 2914 5002 936 3177 5282 7482 3556 3848
 u 120 - p 0.6  ::    9.0  /  15  ::::  2067 2068 2069 2074 7412 6905 4391 357 8068
 u 121 - p 0.4666666666666667  ::    7.0  /  15  ::::  2074 5668 6711 7412 6905 4391 5061
 u 122 - p 0.3333333333333333  ::    5.0  /  15  ::::  2067 2070 5669 7411 8068
 u 123 - p 1.1333333333333333  ::    17.0  /  15  ::::  62 2128 127 4360 4547 6838 2813 7050 3198 1200 5596 1555 5707 1626 1640 1701 2002
 u 124 - p 1.0666666666666667  ::    16.0  /  15  ::::  2184 2233 226 4327 4331 2552 4854 2856 921 3294 1254 3428 5584 1665 5814 8055
 u 125 - p 1.2666666666666666  ::    19.0  /  15  ::::  22 2137 4285 2474 489 6827 4817 737 4834 5002 1353 3422 1478 1595 1617 1796 1957 4068 4095
 u 126 - p 0.4  ::    6.0  /  15  ::::  7068 5108 5252 1535 3902 6112
 u 127 - p 0.6  ::    9.0  /  15  ::::  2172 4269 485 2638 673 944 5161 5313 1665
 u 128 - p 1.2666666666666666  ::    19.0  /  15  ::::  6185 49 81 107 200 291 453 2728 4838 7308 5588 5815 1798 1810 1816 1843 1850 1855 1870
 u 129 - p 1.3333333333333333  ::    20.0  /  15  ::::  6186 255 2312 291 2525 485 490 736 4890 6974 6993 5031 1028 1337 7535 5677 1817 1854 1896 8065
 u 130 - p 0.0  ::    0.0  /  15  :::: 
 u 131 - p 0.13333333333333333  ::    2.0  /  15  ::::  738 975
